Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,10n,C19666
"C2, C7",0603,2,100n,C19666
C3,0603,1,3.3u/16V,C19666
C4,0603,1,0.1u,C14663
C5,0603,1,1u,C15849
C6,0603,1,100n (X7R),C19666
C8,0603,1,10u (X7R),C19666
C9,0603,1,10n (X7R),C19666
J1,JST_XH_S2B-XH-A-1_1x02_P2.50mm_Horizontal,1,Conn_01x02,
"J2, J3",PinHeader_1x06_P2.54mm_Vertical,2,Conn_01x06,
J4,PinHeader_1x01_P2.54mm_Vertical,1,Conn_01x01,
PSW1,SW_Slide_SPDT_Straight_CK_OS102011MS2Q,1,SW_SPDT,
R1,0603,1,2M,
"SW1, SW2, SW3, SW4, SW5, SW6",SW_D2FC-1F_3_OMR_edit,6,D2LS-21,
U1,SOT-23-5,1,TCR2EF19,C146366
U2,PMW3610,1,PMW3610,
