Designator,Mid X,Mid Y,Rotation,Layer
C1,152.8725,-102.901,270.0,top
C2,152.8825,-109.486,90.0,top
C3,152.8925,-112.511,270.0,top
C4,137.1375,-111.6837,90.0,top
C5,134.6875,-115.7387,180.0,top
C6,152.8625,-106.341,90.0,top
C7,137.4385,-104.6535,0.0,top
C8,149.2325,-97.9935,0.0,top
C9,149.2325,-96.2895,0.0,top
J1,164.7625,-102.901,0.0,bottom
J2,156.0125,-78.251,0.0,bottom
J3,135.0125,-78.251,0.0,bottom
J4,140.5125,-89.401,0.0,bottom
PSW1,124.0125,-106.664,90.0,bottom
R1,138.2485,-102.1235,270.0,top
SW1,118.3624,-81.561,270.0,top
SW2,131.3624,-80.571,270.0,top
SW3,119.6626,-125.341,90.0,top
SW4,171.3224,-125.341,90.0,top
SW5,172.3624,-81.561,270.0,top
SW6,159.3624,-80.561,270.0,top
U1,134.6675,-112.9287,90.0,top
U2,145.5125,-107.025,180.0,bottom
